id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2021-06-21T19:48:02;Aquitaine purple;false;1;1
2;2021-06-22T07:55:28;magenta a Refined;false;2;2
3;2021-06-22T06:47:53;1080p programming;false;2;3
4;2021-06-22T02:30:12;COM;false;1;4
5;2021-06-22T05:06:12;green Ingenieur indigo;true;1;5
6;2021-06-21T23:34:42;system Plastic Tanzanian;true;2;6
7;2021-06-21T21:18:20;morph killer;true;2;7
8;2021-06-22T10:10:53;e-business Garden;true;2;8
9;2021-06-21T16:48:27;c c synthesize;false;2;9
10;2021-06-21T16:31:03;a Bonaparte;true;1;10
