id;creation_date;notification_date;notification_reason;notification_text;is_delivered;appuser_id
1;2021-06-22T06:19:27;2021-06-22T14:15:00;FOLLOWING;Saint-Séverin Jewelery;false;1
2;2021-06-21T23:13:57;2021-06-22T09:43:53;UNAUTHORIZE_COMMUNITY_FOLLOWER;Swaziland Granite transmitting;true;2
3;2021-06-22T08:09:37;2021-06-22T07:27:06;FOLLOWING;Rubber reboot payment;true;1
4;2021-06-22T00:50:20;2021-06-22T00:10:47;PROPOSAL_RELEASED;synergies calculate partnerships;false;2
5;2021-06-21T16:59:56;2021-06-22T08:59:48;UNAUTHORIZE_COMMUNITY_FOLLOWER;Table compressing Gloves;true;1
6;2021-06-22T00:48:04;2021-06-22T06:31:14;UNAUTHORIZE_COMMUNITY_FOLLOWER;Salad;true;1
7;2021-06-22T01:48:08;2021-06-22T04:28:00;FOLLOWING;FTP reintermediate;false;1
8;2021-06-22T04:14:50;2021-06-22T05:52:44;PROPOSAL_RELEASED;client-server multi-byte Directeur;true;2
9;2021-06-21T22:26:54;2021-06-22T03:55:39;PROPOSAL_RELEASED;Bacon Chair workforce;false;2
10;2021-06-21T23:07:16;2021-06-22T05:30:34;AUTHORIZE_COMMUNITY_FOLLOWER;mobile Loan;true;2
